"","customerid","urban","frequency","menu","partysize","monthlybasepayment","tenure","monthlyaddons","rating","churn","churn_prediction","addons_prediction"
"2410","cid0002410",0,"once-a-month","convenience",2,27.99,46,25,3,0,0.00347167678011903,12.827648499305
"2411","cid0002411",1,"once-a-month","ethnic",4,47.990002,53,4,5,0,0.00396733458048779,29.4163625622228
"2412","cid0002412",0,"once-a-week","convenience",3,120.99,12,0,2,1,0.191907952791023,7.83327892071042
"2413","cid0002413",0,"twice-a-week","healthy",3,224.99001,12,0,3,0,0.0801413472506015,13.6466638530081
"2414","cid0002414",1,"once-a-month","ethnic",5,52.990002,1,46,3,1,0.251555739202892,17.4093857336991
"2415","cid0002415",1,"once-a-month","convenience",6,47.990002,1,0,4,0,0.110755722401315,25.2221230978982
"2416","cid0002416",0,"once-a-month","healthy",5,57.990002,2,0,1,1,0.704853121235393,1.91769004100959
"2417","cid0002417",1,"once-a-week","convenience",2,97.989998,12,17,3,0,0.0117067970818142,14.7409917836741
"2418","cid0002418",0,"once-a-month","convenience",4,39.990002,6,0,4,0,0.0643241673176143,22.1855663031258
"2419","cid0002419",0,"once-a-month","ethnic",4,47.990002,7,42,5,0,0.0526893622433636,29.0380645126806
"2420","cid0002420",0,"once-a-month","ethnic",4,47.990002,2,19,3,0,0.369992921488519,15.3999458237832
"2421","cid0002421",0,"once-a-month","convenience",6,47.990002,2,3,4,1,0.234991712254824,24.1836117030232
"2422","cid0002422",0,"once-a-month","convenience",3,33.990002,38,56,4,0,0.00331979445435361,20.7651308295604
"2423","cid0002423",0,"twice-a-week","ethnic",2,168.99001,8,51,4,0,0.0442839093600971,20.3309309300138
"2424","cid0002424",1,"twice-a-week","healthy",2,182.99001,16,37,5,0,0.000708524754172831,27.3523654217397
"2425","cid0002425",0,"once-a-week","ethnic",4,167.99001,2,0,2,1,0.624953246449018,8.95704658671547
"2426","cid0002426",1,"once-a-month","convenience",4,39.990002,53,11,5,0,0.0016950371016479,29.4039943357976
"2427","cid0002427",1,"once-a-month","convenience",5,43.990002,2,0,3,0,0.122440926651764,17.38297041482
"2428","cid0002428",1,"once-a-month","convenience",5,43.990002,2,0,2,1,0.279408819517532,10.5287933392365
"2429","cid0002429",0,"once-a-week","healthy",5,202.99001,48,48,4,0,0.00579944129388056,22.2453328533967
"2430","cid0002430",1,"once-a-week","convenience",4,139.99001,7,0,1,0,0.378752808125562,3.04473012485847
"2431","cid0002431",1,"twice-a-week","ethnic",3,206.99001,30,16,3,0,0.0367926346808802,15.1631106379068
"2432","cid0002432",0,"twice-a-week","ethnic",6,292.98999,2,0,5,1,0.277315478654407,31.1531046204843
"2433","cid0002433",1,"twice-a-week","healthy",3,224.99001,21,0,1,1,0.224220403507997,0.83635017217736
"2434","cid0002434",1,"once-a-month","convenience",6,47.990002,3,0,4,0,0.105639687480302,25.1940289129905
"2435","cid0002435",1,"once-a-month","healthy",5,57.990002,12,0,3,0,0.103196473131736,16.5100375700587
"2436","cid0002436",0,"once-a-month","convenience",4,39.990002,6,40,1,1,0.571614686185365,1.6230350763755
"2437","cid0002437",0,"once-a-month","ethnic",5,52.990002,19,5,4,0,0.0983659656126039,22.9862508426914
"2438","cid0002438",0,"once-a-month","convenience",2,27.99,33,32,3,0,0.00926497963338422,13.0102607012055
"2439","cid0002439",1,"once-a-month","convenience",5,43.990002,3,50,2,0,0.27410168405736,10.5147462467827
"2440","cid0002440",0,"once-a-month","convenience",4,39.990002,10,36,3,0,0.119985474295221,15.2752008577268
"2441","cid0002441",1,"once-a-month","convenience",4,39.990002,1,63,4,0,0.0208936318366144,23.2802660678164
"2442","cid0002442",0,"once-a-month","convenience",3,33.990002,2,0,3,0,0.135727962495007,14.416649082317
"2443","cid0002443",1,"once-a-week","convenience",3,120.99,1,21,2,1,0.108159060943322,9.01226124012434
"2444","cid0002444",0,"once-a-week","convenience",5,155.99001,4,13,1,1,0.668281499807134,3.03333561483993
"2445","cid0002445",1,"twice-a-week","healthy",3,224.99001,5,0,1,0,0.306400562918178,1.0611036514396
"2446","cid0002446",1,"once-a-month","healthy",5,57.990002,9,0,2,1,0.257206668534016,9.69800177183693
"2447","cid0002447",1,"once-a-week","healthy",4,181.99001,18,28,4,0,0.0151990749231607,22.7202814143936
"2448","cid0002448",1,"once-a-month","healthy",5,57.990002,43,0,4,0,0.0178755859224201,22.9287547795715
"2449","cid0002449",1,"once-a-month","convenience",6,47.990002,23,0,1,1,0.502296980023538,4.35055583716233
"2450","cid0002450",0,"once-a-month","convenience",5,43.990002,16,0,1,1,0.434052320197297,2.45349266687752
"2451","cid0002451",0,"once-a-month","healthy",4,51.990002,11,35,3,0,0.119616980524114,14.5286918450505
"2452","cid0002452",1,"once-a-month","convenience",6,47.990002,2,67,5,0,0.0473620818499749,32.0622530810278
"2453","cid0002453",1,"twice-a-week","ethnic",5,267.98999,4,42,2,1,0.487540776075013,10.6160149962064
"2454","cid0002454",0,"twice-a-week","ethnic",3,206.99001,1,50,5,0,0.0446844227792957,28.2543661678154
"2455","cid0002455",1,"once-a-month","convenience",6,47.990002,24,0,4,0,0.0633944173751528,24.8990399714588
"2456","cid0002456",1,"once-a-month","convenience",3,33.990002,7,36,4,0,0.0074774310738509,22.2250549980522
"2457","cid0002457",1,"once-a-week","convenience",6,170.99001,8,0,3,0,0.210400292911227,18.6808942136533
"2458","cid0002458",1,"once-a-month","convenience",5,43.990002,3,0,1,1,0.512049878066313,3.66056917119922
"2459","cid0002459",1,"twice-a-week","convenience",4,199.99001,3,66,5,0,0.00700082502868334,30.2092965739444
"2460","cid0002460",1,"twice-a-week","convenience",6,243.99001,5,44,2,1,0.423727989601614,11.5605281923682
"2461","cid0002461",0,"once-a-month","convenience",5,43.990002,14,0,2,0,0.274532019046654,9.33576392736874
"2462","cid0002462",0,"once-a-month","healthy",6,62.990002,2,0,2,0,0.586191589065147,9.74279563163395
"2463","cid0002463",0,"once-a-month","convenience",5,43.990002,41,0,1,0,0.10300720564047,2.10231535553027
"2464","cid0002464",0,"once-a-month","convenience",5,43.990002,5,0,1,1,0.638805831896793,2.60801068387031
"2465","cid0002465",0,"twice-a-week","convenience",5,222.99001,7,0,2,0,0.41528882806911,9.53704118999834
"2466","cid0002466",1,"once-a-month","ethnic",4,47.990002,1,0,3,0,0.136798255817573,16.4384572186582
"2467","cid0002467",0,"once-a-month","healthy",2,35.990002,32,8,2,0,0.0364507285650452,5.43766879785359
"2468","cid0002468",1,"once-a-month","convenience",2,27.99,37,0,1,0,0.0889012984493394,0.270182482644217
"2469","cid0002469",1,"twice-a-week","convenience",6,243.99001,2,0,2,0,0.443259584379792,11.6026694697298
"2470","cid0002470",0,"once-a-month","convenience",3,33.990002,6,0,3,0,0.103859243202836,14.3604607125015
"2471","cid0002471",1,"once-a-month","ethnic",2,32.990002,8,0,1,1,0.330588353308063,0.689916390232264
"2472","cid0002472",1,"twice-a-week","convenience",4,199.99001,1,7,4,0,0.0229934034078328,23.3832136832688
"2473","cid0002473",0,"once-a-month","convenience",3,33.990002,2,0,4,0,0.0487953906656603,21.2708261579005
"2474","cid0002474",0,"twice-a-week","ethnic",6,292.98999,39,29,2,0,0.17022546538737,10.07083097294
"2475","cid0002475",0,"twice-a-week","ethnic",4,239.99001,3,0,4,0,0.182591767800548,22.3430234223651
"2476","cid0002476",0,"twice-a-week","healthy",3,224.99001,2,0,4,0,0.0573392253636284,20.6413118531305
"2477","cid0002477",1,"once-a-month","ethnic",5,52.990002,13,0,1,0,0.653787345501833,3.53246647308555
"2478","cid0002478",0,"once-a-month","ethnic",5,52.990002,4,13,2,1,0.654862972734911,9.48860307833287
"2479","cid0002479",1,"once-a-month","convenience",6,47.990002,4,0,1,0,0.62550248585641,4.61745059378624
"2480","cid0002480",0,"once-a-month","convenience",3,33.990002,16,0,2,0,0.142367064514141,7.36581271237913
"2481","cid0002481",1,"once-a-month","ethnic",2,32.990002,2,54,4,0,0.00828332422117656,21.3367301717059
"2482","cid0002482",0,"twice-a-week","convenience",4,199.99001,3,10,3,0,0.203759249975246,15.4764781203564
"2483","cid0002483",0,"once-a-month","convenience",5,43.990002,11,0,4,0,0.0786718766705577,23.0862593558973
"2484","cid0002484",1,"once-a-week","convenience",5,155.99001,54,0,2,0,0.0934782064344011,10.20962237015
"2485","cid0002485",0,"once-a-month","convenience",3,33.990002,7,0,2,0,0.247468590105026,7.49223654446414
"2486","cid0002486",1,"twice-a-week","convenience",4,199.99001,47,47,5,0,0.00219066897965253,29.5912245059733
"2487","cid0002487",1,"once-a-month","convenience",2,27.99,2,59,5,0,0.000865981478100229,28.1785390208641
"2488","cid0002488",0,"twice-a-week","convenience",5,222.99001,1,0,2,0,0.528368303127692,9.62132374472168
"2489","cid0002489",0,"once-a-month","ethnic",5,52.990002,27,0,1,0,0.438269204205884,2.31134287630996
"2490","cid0002490",1,"once-a-month","convenience",4,39.990002,2,0,4,0,0.0203580503144458,23.2662189753625
"2491","cid0002491",1,"twice-a-week","convenience",2,140.99001,2,34,4,0,0.00391135707870956,21.4273095607331
"2492","cid0002492",0,"twice-a-week","healthy",3,224.99001,2,26,3,1,0.156981204580859,13.787134777547
"2493","cid0002493",0,"once-a-week","ethnic",3,144.99001,1,0,2,1,0.562306922425426,8.00016516412845
"2494","cid0002494",1,"once-a-month","ethnic",5,52.990002,19,4,2,1,0.366913764122259,10.3023609939457
"2495","cid0002495",0,"once-a-week","convenience",5,155.99001,3,53,3,0,0.28084546919092,16.7557368584607
"2496","cid0002496",0,"once-a-month","convenience",3,33.990002,9,0,4,0,0.0292613771295789,21.1724965107232
"2497","cid0002497",1,"once-a-week","convenience",4,139.99001,9,19,2,0,0.154431169784724,9.87081301553413
"2498","cid0002498",1,"once-a-month","convenience",6,47.990002,23,0,3,0,0.144981320335058,18.0589099883292
"2499","cid0002499",1,"once-a-month","convenience",5,43.990002,2,0,2,0,0.279408819517532,10.5287933392365
"2500","cid0002500",1,"once-a-month","convenience",6,47.990002,37,30,3,0,0.104731259079637,17.8622506939747
"2501","cid0002501",0,"once-a-week","convenience",5,155.99001,27,36,2,0,0.129554665457212,9.56442956398389
"2502","cid0002502",1,"once-a-week","convenience",5,155.99001,2,14,3,0,0.12839396025249,17.7942482533357
"2503","cid0002503",0,"once-a-month","convenience",5,43.990002,4,0,1,1,0.6561404017023,2.6220577763242
"2504","cid0002504",0,"once-a-month","convenience",3,33.990002,30,0,3,0,0.0183786355270541,14.0233304936081
"2505","cid0002505",1,"once-a-month","ethnic",4,47.990002,1,0,3,1,0.136798255817573,16.4384572186582
"2506","cid0002506",1,"once-a-week","convenience",5,155.99001,8,0,2,0,0.258802166359819,10.8557886230289
"2507","cid0002507",1,"once-a-month","ethnic",6,57.990002,6,38,2,0,0.603664102039884,11.4559017108871
"2508","cid0002508",1,"twice-a-week","convenience",6,243.99001,7,0,1,0,0.629794523943553,4.67825693187694
"2509","cid0002509",0,"once-a-month","convenience",4,39.990002,4,53,5,0,0.0289161487164001,29.067837563617
"2510","cid0002510",1,"once-a-month","convenience",3,33.990002,35,0,2,0,0.044554218206104,8.12338225817635
"2511","cid0002511",1,"once-a-week","convenience",6,170.99001,43,34,5,0,0.0173913085191167,31.897600128934
"2512","cid0002512",1,"twice-a-week","convenience",5,222.99001,1,57,4,0,0.053798470034515,24.3541421983097
"2513","cid0002513",1,"once-a-month","convenience",4,39.990002,11,0,2,0,0.140931804721262,9.43144099211062
"2514","cid0002514",1,"once-a-month","convenience",4,39.990002,2,35,4,0,0.0203580503144458,23.2662189753625
"2515","cid0002515",1,"twice-a-week","ethnic",5,267.98999,2,54,5,0,0.0446520054042517,31.2066404078645
"2516","cid0002516",0,"once-a-month","convenience",4,39.990002,6,57,4,0,0.0643241673176143,22.1855663031258
"2517","cid0002517",0,"once-a-month","ethnic",5,52.990002,1,16,5,0,0.153602314651024,30.0932755824449
"2518","cid0002518",0,"once-a-month","convenience",3,33.990002,17,9,3,0,0.0478531482540321,14.2059426955087
"2519","cid0002519",0,"once-a-month","healthy",2,35.990002,6,0,1,1,0.487335574074115,0
"2520","cid0002520",1,"once-a-month","healthy",2,35.990002,2,40,4,0,0.00381345197913286,20.5919000250583
"2521","cid0002521",0,"once-a-month","convenience",6,47.990002,6,0,2,1,0.492989371944888,10.4190691820408
"2522","cid0002522",1,"once-a-month","convenience",2,27.99,2,42,3,0,0.0144153315597609,14.4701848696972
"2523","cid0002523",0,"once-a-month","ethnic",6,57.990002,4,0,1,1,0.846134079659848,3.60535451779035
"2524","cid0002524",1,"twice-a-week","ethnic",4,239.99001,29,0,3,0,0.0767995819151518,16.1480862454016
"2525","cid0002525",1,"twice-a-week","ethnic",2,168.99001,2,27,3,0,0.0364611930741784,14.5855007115749
"2526","cid0002526",1,"twice-a-week","convenience",3,172.99001,3,52,3,0,0.0322411706947625,15.5300139077366
"2527","cid0002527",1,"once-a-month","ethnic",5,52.990002,22,20,3,0,0.161495320389719,17.1143967921674
"2528","cid0002528",1,"once-a-month","ethnic",5,52.990002,8,0,4,0,0.091284112114745,24.1652331621053
"2529","cid0002529",0,"once-a-month","ethnic",5,52.990002,49,26,2,1,0.0585490325277635,8.85648391790782
"2530","cid0002530",1,"once-a-month","convenience",5,43.990002,1,61,3,0,0.125318563882104,17.3970175072739
"2531","cid0002531",1,"twice-a-week","convenience",2,140.99001,2,26,4,0,0.00391135707870956,21.4273095607331
"2532","cid0002532",0,"twice-a-week","ethnic",5,267.98999,3,0,4,0,0.288578051473705,23.313951937406
"2533","cid0002533",1,"once-a-month","convenience",3,33.990002,3,19,4,0,0.00830711527925209,22.2812433678677
"2534","cid0002534",1,"once-a-week","convenience",3,120.99,50,50,5,0,0.000704814992851137,28.886484936634
"2535","cid0002535",0,"twice-a-week","healthy",3,224.99001,3,8,4,0,0.0533690647850989,20.6272647606766
"2536","cid0002536",1,"twice-a-week","convenience",2,140.99001,20,20,2,0,0.0394913552762899,7.46610774539616
"2537","cid0002537",0,"once-a-month","convenience",3,33.990002,2,29,3,1,0.135727962495007,14.416649082317
"2538","cid0002538",1,"once-a-month","ethnic",6,57.990002,1,0,3,0,0.416168277538606,18.38031424874
"2539","cid0002539",1,"once-a-month","convenience",3,33.990002,21,36,2,0,0.0633127165737274,8.32004155253081
"2540","cid0002540",0,"once-a-month","convenience",5,43.990002,1,33,5,0,0.0718047795643866,30.0809073560196
"2541","cid0002541",0,"twice-a-week","convenience",2,140.99001,1,2,5,0,0.00954698093026879,27.2710694263493
"2542","cid0002542",1,"once-a-month","ethnic",3,40.990002,7,8,3,0,0.059915230190541,15.3832461488939
"2543","cid0002543",0,"once-a-month","convenience",4,39.990002,2,43,3,0,0.200220664176716,15.3875775973579
"2544","cid0002544",0,"twice-a-week","convenience",5,222.99001,9,0,1,1,0.590073379186776,2.65476992950712
"2545","cid0002545",1,"twice-a-week","convenience",2,140.99001,18,0,1,0,0.151172745936171,0.640024854720502
"2546","cid0002546",0,"once-a-month","convenience",2,27.99,21,0,2,0,0.0750487786147199,6.32464873506877
"2547","cid0002547",0,"once-a-month","convenience",4,39.990002,3,19,4,0,0.0794777406844587,22.2277075804875
"2548","cid0002548",0,"once-a-month","convenience",4,39.990002,5,19,3,0,0.166202275899471,15.3454363199963
"2549","cid0002549",0,"once-a-month","convenience",3,33.990002,6,50,3,0,0.103859243202836,14.3604607125015
"2550","cid0002550",0,"once-a-week","convenience",5,155.99001,1,0,4,0,0.161557599073849,23.6380081189519
"2551","cid0002551",0,"once-a-month","convenience",6,47.990002,14,0,2,0,0.346220044464181,10.3066924424097
"2552","cid0002552",0,"once-a-week","convenience",5,155.99001,17,0,2,0,0.241341809603511,9.70490048852279
"2553","cid0002553",1,"once-a-month","ethnic",3,40.990002,1,0,2,1,0.212269776727335,8.61335162803385
"2554","cid0002554",1,"twice-a-week","convenience",5,222.99001,5,63,4,0,0.0486481610891516,24.2979538284941
"2555","cid0002555",0,"once-a-month","convenience",6,47.990002,6,58,4,0,0.184799537348197,24.1274233332076
"2556","cid0002556",0,"once-a-month","convenience",5,43.990002,30,0,1,0,0.209369936129598,2.25683337252306
"2557","cid0002557",1,"once-a-month","ethnic",6,57.990002,12,0,2,0,0.56504596932324,11.3716191561638
"2558","cid0002558",1,"twice-a-week","convenience",6,243.99001,7,0,2,0,0.410834233106211,11.5324340074604
"2559","cid0002559",1,"once-a-month","convenience",2,27.99,2,10,3,0,0.0144153315597609,14.4701848696972
"2560","cid0002560",0,"once-a-month","convenience",3,33.990002,54,0,2,0,0.00917446623129097,6.83202319913131
"2561","cid0002561",0,"once-a-month","ethnic",3,40.990002,7,51,3,0,0.201274314629724,14.3587818464728
"2562","cid0002562",1,"once-a-month","convenience",6,47.990002,1,0,2,1,0.425719198742515,11.5137689467314
"2563","cid0002563",0,"once-a-month","convenience",3,33.990002,4,22,4,0,0.0422085876466853,21.2427319729927
"2564","cid0002564",0,"twice-a-week","ethnic",2,168.99001,13,0,2,0,0.27820712306805,6.5523413165775
"2565","cid0002565",1,"once-a-month","convenience",3,33.990002,15,11,4,0,0.0060569155540673,22.112678258421
"2566","cid0002566",1,"once-a-month","ethnic",5,52.990002,1,0,1,1,0.721900257559839,3.70103158253223
"2567","cid0002567",1,"once-a-month","convenience",5,43.990002,4,18,4,0,0.0454483631081238,24.2090533054956
"2568","cid0002568",1,"once-a-month","convenience",4,39.990002,27,40,5,0,0.00337167562207488,29.7692187395987
"2569","cid0002569",1,"once-a-month","convenience",5,43.990002,2,0,2,0,0.279408819517532,10.5287933392365
"2570","cid0002570",1,"once-a-month","convenience",5,43.990002,6,48,4,0,0.0432024491818233,24.1809591205879
"2571","cid0002571",0,"once-a-month","convenience",3,33.990002,4,31,3,0,0.118872802710626,14.3885548974093
"2572","cid0002572",1,"once-a-month","convenience",5,43.990002,7,0,3,0,0.108893865494786,17.3127349525505
"2573","cid0002573",0,"twice-a-week","healthy",2,182.99001,9,41,3,0,0.0642312930985882,12.7178766153289
"2574","cid0002574",1,"twice-a-week","convenience",2,140.99001,1,1,4,0,0.00401603120401323,21.441356653187
"2575","cid0002575",0,"twice-a-week","ethnic",3,206.99001,3,33,4,0,0.109537757252638,21.3720949073242
"2576","cid0002576",1,"once-a-month","convenience",3,33.990002,39,14,4,0,0.0032145900753923,21.7755480395277
"2577","cid0002577",1,"once-a-month","convenience",2,27.99,13,0,1,0,0.155674856560863,0.607312701537578
"2578","cid0002578",1,"once-a-month","ethnic",5,52.990002,1,7,4,0,0.107892451372259,24.2635628092826
"2579","cid0002579",0,"once-a-month","convenience",5,43.990002,9,0,3,0,0.18995662451589,16.2601764652216
"2580","cid0002580",0,"once-a-month","convenience",5,43.990002,20,50,3,0,0.0923047185135253,16.1056584482288
"2581","cid0002581",1,"once-a-month","convenience",4,39.990002,3,0,4,0,0.0198359196018135,23.2521718829086
"2582","cid0002582",1,"once-a-month","convenience",2,27.99,3,0,3,0,0.0140434311181279,14.4561377772434
"2583","cid0002583",0,"once-a-month","ethnic",5,52.990002,2,27,3,1,0.483523969782787,16.3708743388241
"2584","cid0002584",0,"once-a-month","convenience",3,33.990002,18,30,5,0,0.00494581418850102,27.9002497542217
"2585","cid0002585",0,"once-a-month","convenience",3,33.990002,1,0,1,1,0.613592438066083,0.722342023604043
"2586","cid0002586",0,"once-a-month","convenience",3,33.990002,7,0,1,0,0.50167481734419,0.638059468880702
"2587","cid0002587",1,"once-a-month","convenience",4,39.990002,4,0,1,0,0.384715148915894,2.67559356370442
"2588","cid0002588",1,"once-a-month","ethnic",4,47.990002,9,0,2,0,0.288665564853676,9.47190340344364
"2589","cid0002589",0,"once-a-week","healthy",4,181.99001,4,11,4,0,0.0832736139689133,21.8924764063269
"2590","cid0002590",1,"once-a-month","convenience",2,27.99,11,20,3,0,0.0113898624164182,14.3437610376122
"2591","cid0002591",0,"once-a-month","convenience",2,27.99,5,0,2,0,0.214788577217352,6.54940221433101
"2592","cid0002592",0,"twice-a-week","convenience",5,222.99001,1,28,4,0,0.167554967236457,23.3296778958886
"2593","cid0002593",0,"once-a-week","convenience",4,139.99001,2,57,4,0,0.0895431162958144,22.6530325114571
"2594","cid0002594",0,"once-a-month","convenience",3,33.990002,50,0,1,0,0.0369895111402027,0.0340344933634293
"2595","cid0002595",1,"once-a-month","ethnic",3,40.990002,1,45,3,0,0.0695287904151005,15.4675287036173
"2596","cid0002596",1,"once-a-week","healthy",5,202.99001,51,0,2,0,0.107179530813914,9.51930172728928
"2597","cid0002597",1,"once-a-month","convenience",5,43.990002,8,23,3,0,0.106347525742095,17.2986878600966
"2598","cid0002598",1,"twice-a-week","healthy",6,317.98999,3,0,1,1,0.670369514512482,4.00198338147012
"2599","cid0002599",0,"twice-a-week","convenience",4,199.99001,1,9,4,0,0.0997826987081182,22.3587493808476
"2600","cid0002600",0,"once-a-month","convenience",6,47.990002,20,0,1,0,0.410142521459934,3.36823281210287
"2601","cid0002601",1,"once-a-month","convenience",5,43.990002,2,0,1,1,0.518672236853055,3.67461626365311
"2602","cid0002602",0,"once-a-month","ethnic",3,40.990002,2,33,3,0,0.269223383239791,14.4290173087423
"2603","cid0002603",0,"once-a-month","convenience",5,43.990002,11,0,1,0,0.528580289475394,2.52372812914697
"2604","cid0002604",1,"once-a-month","ethnic",6,57.990002,23,0,3,0,0.284581133157584,18.0712782147544
"2605","cid0002605",1,"once-a-month","convenience",5,43.990002,27,0,1,0,0.357060003209456,3.32343895230586
"2606","cid0002606",0,"once-a-month","convenience",5,43.990002,9,0,4,0,0.0904117726865663,23.1143535408051
"2607","cid0002607",1,"once-a-month","convenience",4,39.990002,28,52,4,0,0.0103220538484363,22.9009945715614
"2608","cid0002608",0,"once-a-month","ethnic",3,40.990002,2,0,1,1,0.775416087500121,0.720663157575387
"2609","cid0002609",1,"once-a-month","convenience",2,27.99,38,0,3,0,0.00559941882658438,13.9644895413572
"2610","cid0002610",0,"twice-a-week","convenience",3,172.99001,38,0,1,0,0.0953458281527308,0.305547218262483
"2611","cid0002611",0,"twice-a-week","convenience",6,243.99001,4,39,4,0,0.225422801399448,24.2584651335678
"2612","cid0002612",0,"twice-a-week","convenience",5,222.99001,20,8,5,0,0.0197519278782187,29.9169602148481
"2613","cid0002613",0,"once-a-month","convenience",4,39.990002,12,0,1,0,0.458273057383816,1.53875252165217
"2614","cid0002614",0,"once-a-month","healthy",5,57.990002,3,0,3,0,0.284532006496437,15.6119970997226
"2615","cid0002615",0,"twice-a-week","convenience",2,140.99001,5,10,3,0,0.0796205498252989,13.5065269053668
"2616","cid0002616",0,"once-a-month","ethnic",3,40.990002,11,39,5,0,0.0194571536948341,28.0109476278241
"2617","cid0002617",1,"once-a-week","ethnic",2,117.99,9,37,4,0,0.00727134826559849,21.6496783630444
"2618","cid0002618",1,"once-a-week","convenience",6,170.99001,40,48,4,0,0.0446662468281451,25.0855643307122
"2619","cid0002619",0,"once-a-month","convenience",5,43.990002,51,39,5,0,0.00173135912700611,29.3785527333251
"2620","cid0002620",0,"once-a-week","convenience",3,120.99,2,0,1,1,0.608440863957397,1.11957276966588
"2621","cid0002621",0,"once-a-month","convenience",5,43.990002,1,0,3,1,0.300979040692898,16.3725532048527
"2622","cid0002622",0,"once-a-month","convenience",2,27.99,7,0,3,0,0.0631306986322884,13.3754851050067
"2623","cid0002623",1,"once-a-month","convenience",3,33.990002,22,0,2,0,0.0617583626137913,8.30599446007692
"2624","cid0002624",1,"once-a-month","convenience",2,27.99,3,32,5,0,0.000843340954632542,28.1644919284102
"2625","cid0002625",1,"twice-a-week","convenience",4,199.99001,43,0,2,1,0.0718816951971094,9.08488164903851
"2626","cid0002626",1,"twice-a-week","ethnic",3,206.99001,44,32,4,0,0.00725465043095119,21.8206284191358
"2627","cid0002627",1,"once-a-month","ethnic",3,40.990002,1,58,4,1,0.0203004526339169,22.3217057792007
"2628","cid0002628",1,"once-a-month","convenience",4,39.990002,2,23,5,0,0.00652157254800384,30.120396050946
"2629","cid0002629",0,"twice-a-week","convenience",2,140.99001,28,38,3,0,0.0148541099356379,13.1834437789273
"2630","cid0002630",1,"once-a-month","convenience",6,47.990002,6,0,2,1,0.393669675341448,11.4435334844619
"2631","cid0002631",1,"once-a-month","convenience",3,33.990002,51,0,4,0,0.00234057842556252,21.606982930081
"2632","cid0002632",1,"once-a-week","ethnic",3,144.99001,1,0,2,1,0.221487952727813,9.02462946654957
"2633","cid0002633",1,"once-a-week","ethnic",5,186.99001,4,58,3,0,0.246829227281306,17.7785222948532
"2634","cid0002634",1,"once-a-month","convenience",5,43.990002,1,0,2,1,0.284778398805883,10.5428404316904
"2635","cid0002635",1,"once-a-month","healthy",6,62.990002,22,36,4,0,0.0712665444458091,24.1946722361442
"2636","cid0002636",1,"once-a-month","convenience",5,43.990002,7,27,5,0,0.0155759432741406,31.0210891037174
"2637","cid0002637",1,"once-a-month","healthy",4,51.990002,8,0,1,1,0.37679374704508,1.88694327366647
"2638","cid0002638",0,"once-a-week","healthy",6,221.99001,1,16,4,0,0.273360995089332,23.8764747137704
"2639","cid0002639",0,"once-a-month","convenience",2,27.99,23,0,1,0,0.195542421093262,0
"2640","cid0002640",0,"once-a-month","convenience",4,39.990002,43,0,2,0,0.0290138167014353,7.95746973116501
"2641","cid0002641",1,"twice-a-week","convenience",5,222.99001,34,0,2,1,0.154731715915823,10.1822339961644
"2642","cid0002642",1,"twice-a-week","convenience",5,222.99001,4,0,1,1,0.529865363776909,3.7494696941977
"2643","cid0002643",1,"once-a-month","ethnic",5,52.990002,51,6,4,0,0.0311228877311132,23.561208186588
"2644","cid0002644",0,"once-a-month","ethnic",3,40.990002,32,0,3,0,0.0363595565566649,14.0076045351256
"2645","cid0002645",1,"twice-a-week","convenience",5,222.99001,18,36,4,0,0.0349600673163833,24.1153416265936
"2646","cid0002646",1,"once-a-week","healthy",3,156.99001,11,20,5,0,0.0021282408517636,28.7018596221134
"2647","cid0002647",0,"once-a-month","convenience",5,43.990002,4,27,2,0,0.447152101727381,9.47623485190764
"2648","cid0002648",1,"twice-a-week","ethnic",5,267.98999,9,0,2,0,0.454520683851057,10.5457795339369
"2649","cid0002649",1,"once-a-month","convenience",4,39.990002,25,44,2,1,0.101672294096872,9.23478169775616
"2650","cid0002650",0,"twice-a-week","convenience",2,140.99001,2,0,2,1,0.274776964064397,6.69449110714505
"2651","cid0002651",0,"once-a-month","healthy",5,57.990002,40,1,4,0,0.0100427892075351,21.9464317545121
"2652","cid0002652",1,"once-a-month","convenience",3,33.990002,9,54,3,0,0.0251178554961799,15.3427837375609
"2653","cid0002653",1,"once-a-month","convenience",2,27.99,12,0,2,0,0.0440587612432104,7.47553686957491
"2654","cid0002654",0,"once-a-week","healthy",3,156.99001,2,15,3,0,0.151293522094334,14.0954650006104
"2655","cid0002655",1,"once-a-month","ethnic",2,32.990002,47,38,4,0,0.00252657379678847,20.7046110112809
"2656","cid0002656",1,"twice-a-week","ethnic",5,267.98999,2,59,4,0,0.11495916547533,24.352463332281
"2657","cid0002657",0,"once-a-month","convenience",4,39.990002,2,0,5,0,0.0335011735275437,29.0959317485248
"2658","cid0002658",0,"once-a-month","convenience",4,39.990002,1,12,4,1,0.0913259723502561,22.2558017653953
"2659","cid0002659",0,"once-a-month","ethnic",6,57.990002,19,12,5,0,0.0873055417141205,30.8113564333158
"2660","cid0002660",0,"twice-a-week","convenience",3,172.99001,3,57,5,0,0.016840273235723,28.2139037564824
"2661","cid0002661",0,"twice-a-week","ethnic",4,239.99001,4,41,4,0,0.171527185747899,22.3289763299112
"2662","cid0002662",0,"once-a-month","healthy",3,44.990002,7,43,3,0,0.103534448767302,13.6139516998252
"2663","cid0002663",1,"once-a-month","convenience",4,39.990002,46,0,1,0,0.170341933846428,2.08561568064103
